name,month,stars
Polymer/polymer,Apr 2014,246
Polymer/polymer,Aug 2013,237
Polymer/polymer,Aug 2014,364
Polymer/polymer,Dec 2013,184
Polymer/polymer,Feb 2014,280
Polymer/polymer,Jan 2014,195
Polymer/polymer,Jul 2013,217
Polymer/polymer,Jul 2014,474
Polymer/polymer,Jun 2013,263
Polymer/polymer,Jun 2014,570
Polymer/polymer,Mar 2014,293
Polymer/polymer,May 2013,1364
Polymer/polymer,May 2014,355
Polymer/polymer,Nov 2013,221
Polymer/polymer,Oct 2013,263
Polymer/polymer,Oct 2014,119
Polymer/polymer,Sep 2013,258
Polymer/polymer,Sep 2014,259
angular/angular.js,Apr 2012,1089
angular/angular.js,Apr 2013,1097
angular/angular.js,Apr 2014,1161
angular/angular.js,Aug 2012,1810
angular/angular.js,Aug 2013,1403
angular/angular.js,Aug 2014,1448
angular/angular.js,Dec 2012,565
angular/angular.js,Dec 2013,1241
angular/angular.js,Feb 2013,913
angular/angular.js,Feb 2014,1415
angular/angular.js,Jan 2013,848
angular/angular.js,Jan 2014,1310
angular/angular.js,Jul 2012,1388
angular/angular.js,Jul 2013,1137
angular/angular.js,Jul 2014,1253
angular/angular.js,Jun 2012,2209
angular/angular.js,Jun 2013,1025
angular/angular.js,Jun 2014,1165
angular/angular.js,Mar 2012,111
angular/angular.js,Mar 2013,932
angular/angular.js,Mar 2014,1355
angular/angular.js,May 2012,1317
angular/angular.js,May 2013,1094
angular/angular.js,May 2014,1336
angular/angular.js,Nov 2012,480
angular/angular.js,Nov 2013,1425
angular/angular.js,Oct 2012,468
angular/angular.js,Oct 2013,1281
angular/angular.js,Oct 2014,664
angular/angular.js,Sep 2012,614
angular/angular.js,Sep 2013,1177
angular/angular.js,Sep 2014,1454
bem/bem-core,Apr 2013,3
bem/bem-core,Apr 2014,7
bem/bem-core,Aug 2013,2
bem/bem-core,Aug 2014,8
bem/bem-core,Dec 2013,3
bem/bem-core,Feb 2013,1
bem/bem-core,Feb 2014,6
bem/bem-core,Jan 2014,2
bem/bem-core,Jul 2013,2
bem/bem-core,Jul 2014,11
bem/bem-core,Jun 2013,4
bem/bem-core,Jun 2014,2
bem/bem-core,Mar 2013,3
bem/bem-core,Mar 2014,6
bem/bem-core,May 2013,2
bem/bem-core,May 2014,2
bem/bem-core,Nov 2013,3
bem/bem-core,Oct 2013,5
bem/bem-core,Oct 2014,3
bem/bem-core,Sep 2013,3
bem/bem-core,Sep 2014,2
derbyjs/derby,Aug 2014,43
derbyjs/derby,Jul 2014,27
