name,month,stars
Polymer/polymer,2013-05,1364
Polymer/polymer,2013-06,263
Polymer/polymer,2013-07,217
Polymer/polymer,2013-08,237
Polymer/polymer,2013-09,258
Polymer/polymer,2013-10,263
Polymer/polymer,2013-11,221
Polymer/polymer,2013-12,184
Polymer/polymer,2014-01,195
Polymer/polymer,2014-02,280
Polymer/polymer,2014-03,293
Polymer/polymer,2014-04,246
Polymer/polymer,2014-05,355
Polymer/polymer,2014-06,570
Polymer/polymer,2014-07,474
Polymer/polymer,2014-08,364
Polymer/polymer,2014-09,259
Polymer/polymer,2014-10,116
angular/angular.js,2012-03,111
angular/angular.js,2012-04,1089
angular/angular.js,2012-05,1317
angular/angular.js,2012-06,2209
angular/angular.js,2012-07,1388
angular/angular.js,2012-08,1810
angular/angular.js,2012-09,614
angular/angular.js,2012-10,468
angular/angular.js,2012-11,480
angular/angular.js,2012-12,565
angular/angular.js,2013-01,848
angular/angular.js,2013-02,913
angular/angular.js,2013-03,932
angular/angular.js,2013-04,1097
angular/angular.js,2013-05,1094
angular/angular.js,2013-06,1025
angular/angular.js,2013-07,1137
angular/angular.js,2013-08,1403
angular/angular.js,2013-09,1177
angular/angular.js,2013-10,1281
angular/angular.js,2013-11,1425
angular/angular.js,2013-12,1241
angular/angular.js,2014-01,1310
angular/angular.js,2014-02,1415
angular/angular.js,2014-03,1355
angular/angular.js,2014-04,1161
angular/angular.js,2014-05,1336
angular/angular.js,2014-06,1165
angular/angular.js,2014-07,1253
angular/angular.js,2014-08,1448
angular/angular.js,2014-09,1454
angular/angular.js,2014-10,659
bem/bem-core,2013-02,1
bem/bem-core,2013-03,3
bem/bem-core,2013-04,3
bem/bem-core,2013-05,2
bem/bem-core,2013-06,4
bem/bem-core,2013-07,2
bem/bem-core,2013-08,2
bem/bem-core,2013-09,3
bem/bem-core,2013-10,5
bem/bem-core,2013-11,3
bem/bem-core,2013-12,3
bem/bem-core,2014-01,2
bem/bem-core,2014-02,6
bem/bem-core,2014-03,6
bem/bem-core,2014-04,7
bem/bem-core,2014-05,2
bem/bem-core,2014-06,2
bem/bem-core,2014-07,11
bem/bem-core,2014-08,8
bem/bem-core,2014-09,2
bem/bem-core,2014-10,3
derbyjs/derby,2014-07,27
derbyjs/derby,2014-08,43
derbyjs/derby,2014-09,54
derbyjs/derby,2014-10,43
emberjs/ember.js,2012-03,459
emberjs/ember.js,2012-04,855
emberjs/ember.js,2012-05,1497
emberjs/ember.js,2012-06,1059
emberjs/ember.js,2012-07,812
emberjs/ember.js,2012-08,1016
emberjs/ember.js,2012-09,381
emberjs/ember.js,2012-10,272
emberjs/ember.js,2012-11,237
emberjs/ember.js,2012-12,299
emberjs/ember.js,2013-01,350
emberjs/ember.js,2013-02,551
emberjs/ember.js,2013-03,457
emberjs/ember.js,2013-04,387
emberjs/ember.js,2013-05,302
emberjs/ember.js,2013-06,287
emberjs/ember.js,2013-07,287
emberjs/ember.js,2013-08,321
emberjs/ember.js,2013-09,417
emberjs/ember.js,2013-10,279
emberjs/ember.js,2013-11,284
emberjs/ember.js,2013-12,270
emberjs/ember.js,2014-01,290
emberjs/ember.js,2014-02,288
emberjs/ember.js,2014-03,303
emberjs/ember.js,2014-04,340
emberjs/ember.js,2014-05,342
emberjs/ember.js,2014-06,315
emberjs/ember.js,2014-07,306
emberjs/ember.js,2014-08,308
emberjs/ember.js,2014-09,233
emberjs/ember.js,2014-10,111
facebook/react,2013-05,994
facebook/react,2013-06,519
facebook/react,2013-07,166
facebook/react,2013-08,193
facebook/react,2013-09,173
facebook/react,2013-10,232
facebook/react,2013-11,290
facebook/react,2013-12,968
facebook/react,2014-01,940
facebook/react,2014-02,474
facebook/react,2014-03,480
facebook/react,2014-04,539
facebook/react,2014-05,986
facebook/react,2014-06,466
facebook/react,2014-07,786
facebook/react,2014-08,604
facebook/react,2014-09,688
facebook/react,2014-10,277
jashkenas/backbone,2013-07,407
jashkenas/backbone,2013-08,426
jashkenas/backbone,2013-09,328
jashkenas/backbone,2013-10,362
jashkenas/backbone,2013-11,329
jashkenas/backbone,2013-12,363
jashkenas/backbone,2014-01,361
jashkenas/backbone,2014-02,328
jashkenas/backbone,2014-03,402
jashkenas/backbone,2014-04,383
jashkenas/backbone,2014-05,395
jashkenas/backbone,2014-06,357
jashkenas/backbone,2014-07,313
jashkenas/backbone,2014-08,361
jashkenas/backbone,2014-09,304
jashkenas/backbone,2014-10,132
knockout/knockout,2013-05,71
knockout/knockout,2013-06,120
knockout/knockout,2013-07,154
knockout/knockout,2013-08,125
knockout/knockout,2013-09,93
knockout/knockout,2013-10,132
knockout/knockout,2013-11,103
knockout/knockout,2013-12,96
knockout/knockout,2014-01,112
knockout/knockout,2014-02,123
knockout/knockout,2014-03,144
knockout/knockout,2014-04,123
knockout/knockout,2014-05,142
knockout/knockout,2014-06,127
knockout/knockout,2014-07,143
knockout/knockout,2014-08,156
knockout/knockout,2014-09,116
knockout/knockout,2014-10,61
meteor/meteor,2012-03,15
meteor/meteor,2012-04,7539
meteor/meteor,2012-05,1866
meteor/meteor,2012-06,975
meteor/meteor,2012-07,1624
meteor/meteor,2012-08,1442
meteor/meteor,2012-09,414
meteor/meteor,2012-10,423
meteor/meteor,2012-11,336
meteor/meteor,2012-12,597
meteor/meteor,2013-01,482
meteor/meteor,2013-02,424
meteor/meteor,2013-03,518
meteor/meteor,2013-04,370
meteor/meteor,2013-05,350
meteor/meteor,2013-06,359
meteor/meteor,2013-07,336
meteor/meteor,2013-08,288
meteor/meteor,2013-09,258
meteor/meteor,2013-10,430
meteor/meteor,2013-11,452
meteor/meteor,2013-12,409
meteor/meteor,2014-01,380
meteor/meteor,2014-02,356
meteor/meteor,2014-03,452
meteor/meteor,2014-04,432
meteor/meteor,2014-05,347
meteor/meteor,2014-06,4583
meteor/meteor,2014-07,736
meteor/meteor,2014-08,691
meteor/meteor,2014-09,633
meteor/meteor,2014-10,282
