name,month,stars
Polymer/polymer,2013-10,263
Polymer/polymer,2013-11,221
Polymer/polymer,2013-12,184
Polymer/polymer,2014-01,195
Polymer/polymer,2014-02,280
Polymer/polymer,2014-03,293
Polymer/polymer,2014-04,246
Polymer/polymer,2014-05,355
Polymer/polymer,2014-06,570
Polymer/polymer,2014-07,474
Polymer/polymer,2014-08,364
Polymer/polymer,2014-09,259
Polymer/polymer,2014-10,96
angular/angular.js,2013-10,1281
angular/angular.js,2013-11,1425
angular/angular.js,2013-12,1241
angular/angular.js,2014-01,1310
angular/angular.js,2014-02,1415
angular/angular.js,2014-03,1355
angular/angular.js,2014-04,1161
angular/angular.js,2014-05,1336
angular/angular.js,2014-06,1165
angular/angular.js,2014-07,1253
angular/angular.js,2014-08,1448
angular/angular.js,2014-09,1454
angular/angular.js,2014-10,560
bem/bem-core,2013-10,5
bem/bem-core,2013-11,3
bem/bem-core,2013-12,3
bem/bem-core,2014-01,2
bem/bem-core,2014-02,6
bem/bem-core,2014-03,6
bem/bem-core,2014-04,7
bem/bem-core,2014-05,2
bem/bem-core,2014-06,2
bem/bem-core,2014-07,11
bem/bem-core,2014-08,8
bem/bem-core,2014-09,2
bem/bem-core,2014-10,3
derbyjs/derby,2014-07,27
derbyjs/derby,2014-08,43
derbyjs/derby,2014-09,54
derbyjs/derby,2014-10,32
emberjs/ember.js,2013-10,279
emberjs/ember.js,2013-11,284
emberjs/ember.js,2013-12,270
emberjs/ember.js,2014-01,290
emberjs/ember.js,2014-02,288
emberjs/ember.js,2014-03,303
emberjs/ember.js,2014-04,340
emberjs/ember.js,2014-05,342
emberjs/ember.js,2014-06,315
emberjs/ember.js,2014-07,306
emberjs/ember.js,2014-08,308
emberjs/ember.js,2014-09,233
emberjs/ember.js,2014-10,93
facebook/react,2013-10,232
facebook/react,2013-11,290
facebook/react,2013-12,968
facebook/react,2014-01,940
facebook/react,2014-02,474
facebook/react,2014-03,480
facebook/react,2014-04,539
facebook/react,2014-05,986
facebook/react,2014-06,466
facebook/react,2014-07,786
facebook/react,2014-08,604
facebook/react,2014-09,688
facebook/react,2014-10,240
jashkenas/backbone,2013-10,362
jashkenas/backbone,2013-11,329
jashkenas/backbone,2013-12,363
jashkenas/backbone,2014-01,361
jashkenas/backbone,2014-02,328
jashkenas/backbone,2014-03,402
jashkenas/backbone,2014-04,383
jashkenas/backbone,2014-05,395
jashkenas/backbone,2014-06,357
jashkenas/backbone,2014-07,313
jashkenas/backbone,2014-08,361
jashkenas/backbone,2014-09,304
jashkenas/backbone,2014-10,114
knockout/knockout,2013-10,132
knockout/knockout,2013-11,103
knockout/knockout,2013-12,96
knockout/knockout,2014-01,112
knockout/knockout,2014-02,123
knockout/knockout,2014-03,144
knockout/knockout,2014-04,123
knockout/knockout,2014-05,142
knockout/knockout,2014-06,127
knockout/knockout,2014-07,143
knockout/knockout,2014-08,156
knockout/knockout,2014-09,116
knockout/knockout,2014-10,55
meteor/meteor,2013-10,430
meteor/meteor,2013-11,452
meteor/meteor,2013-12,409
meteor/meteor,2014-01,380
meteor/meteor,2014-02,356
meteor/meteor,2014-03,452
meteor/meteor,2014-04,432
meteor/meteor,2014-05,347
meteor/meteor,2014-06,4583
meteor/meteor,2014-07,736
meteor/meteor,2014-08,691
meteor/meteor,2014-09,633
meteor/meteor,2014-10,247
