name,month,stars
documentcloud/backbone,2012 03 x,7171
documentcloud/backbone,2012 04 x,7837
documentcloud/backbone,2012 05 x,8448
documentcloud/backbone,2012 06 x,9034
documentcloud/backbone,2012 07 x,9688
documentcloud/backbone,2012 08 x,10214
documentcloud/backbone,2012 09 x,10603
documentcloud/backbone,2012 10 x,11029
documentcloud/backbone,2012 11 x,11415
documentcloud/backbone,2012 12 x,11878
documentcloud/backbone,2013 01 x,12405
documentcloud/backbone,2013 02 x,12834
documentcloud/backbone,2013 03 x,13450
documentcloud/backbone,2013 04 x,13908
documentcloud/backbone,2013 05 x,14350
documentcloud/backbone,2013 06 x,14736
documentcloud/backbone,2013 07 x,14813
