name,month,stars
Famous/famous,2014 04 x,3095
Famous/famous,2014 05 x,4480
Famous/famous,2014 06 x,4796
Famous/famous,2014 07 x,5032
Famous/famous,2014 08 x,5430
Famous/famous,2014 09 x,5645
Famous/famous,2014 10 x,5785
driftyco/ionic,2013 11 x,1656
driftyco/ionic,2013 12 x,2404
driftyco/ionic,2014 01 x,2853
driftyco/ionic,2014 02 x,3547
driftyco/ionic,2014 03 x,4392
driftyco/ionic,2014 04 x,5012
driftyco/ionic,2014 05 x,6248
driftyco/ionic,2014 06 x,6862
driftyco/ionic,2014 07 x,7905
driftyco/ionic,2014 08 x,8900
driftyco/ionic,2014 09 x,9755
driftyco/ionic,2014 10 x,10395
facebook/flux,2014 07 x,1349
facebook/flux,2014 08 x,1980
facebook/flux,2014 09 x,2265
facebook/flux,2014 10 x,2479
flightjs/flight,2013 07 x,4225
flightjs/flight,2013 08 x,4321
flightjs/flight,2013 09 x,4396
flightjs/flight,2013 10 x,4488
flightjs/flight,2013 11 x,4591
flightjs/flight,2013 12 x,4654
flightjs/flight,2014 01 x,4860
flightjs/flight,2014 02 x,4988
flightjs/flight,2014 03 x,5139
flightjs/flight,2014 04 x,5248
flightjs/flight,2014 05 x,5311
flightjs/flight,2014 06 x,5384
flightjs/flight,2014 07 x,5431
flightjs/flight,2014 08 x,5507
flightjs/flight,2014 09 x,5588
flightjs/flight,2014 10 x,5626
marionettejs/backbone.marionette,2012 09 x,1377
marionettejs/backbone.marionette,2012 10 x,1541
marionettejs/backbone.marionette,2012 11 x,1697
marionettejs/backbone.marionette,2012 12 x,1836
marionettejs/backbone.marionette,2013 01 x,2049
marionettejs/backbone.marionette,2013 02 x,2308
marionettejs/backbone.marionette,2013 03 x,2563
marionettejs/backbone.marionette,2013 04 x,2866
marionettejs/backbone.marionette,2013 05 x,3046
marionettejs/backbone.marionette,2013 06 x,3239
marionettejs/backbone.marionette,2013 07 x,3427
marionettejs/backbone.marionette,2013 08 x,3621
marionettejs/backbone.marionette,2013 09 x,3775
marionettejs/backbone.marionette,2013 10 x,3937
marionettejs/backbone.marionette,2013 11 x,4114
marionettejs/backbone.marionette,2013 12 x,4258
marionettejs/backbone.marionette,2014 01 x,4448
marionettejs/backbone.marionette,2014 02 x,4568
marionettejs/backbone.marionette,2014 03 x,4693
marionettejs/backbone.marionette,2014 04 x,4820
marionettejs/backbone.marionette,2014 05 x,4955
marionettejs/backbone.marionette,2014 06 x,5085
marionettejs/backbone.marionette,2014 07 x,5227
marionettejs/backbone.marionette,2014 08 x,5338
marionettejs/backbone.marionette,2014 09 x,5452
marionettejs/backbone.marionette,2014 10 x,5494
swannodette/om,2013 12 x,964
swannodette/om,2014 01 x,1475
swannodette/om,2014 02 x,1655
swannodette/om,2014 03 x,1821
swannodette/om,2014 04 x,1980
swannodette/om,2014 05 x,2188
swannodette/om,2014 06 x,2342
swannodette/om,2014 07 x,2458
swannodette/om,2014 08 x,2606
swannodette/om,2014 09 x,2757
swannodette/om,2014 10 x,2860
