name,month,stars
SteveSanderson/knockout,2012 03 x,1672
SteveSanderson/knockout,2012 04 x,1843
SteveSanderson/knockout,2012 05 x,2038
SteveSanderson/knockout,2012 06 x,2216
SteveSanderson/knockout,2012 07 x,2392
SteveSanderson/knockout,2012 08 x,2542
SteveSanderson/knockout,2012 09 x,2661
SteveSanderson/knockout,2012 10 x,2804
SteveSanderson/knockout,2012 11 x,2948
SteveSanderson/knockout,2012 12 x,3050
SteveSanderson/knockout,2013 01 x,3174
SteveSanderson/knockout,2013 02 x,3341
SteveSanderson/knockout,2013 03 x,3479
SteveSanderson/knockout,2013 04 x,3639
SteveSanderson/knockout,2013 05 x,3699
