name,month,stars
Polymer/polymer,2013 05 x,1503
Polymer/polymer,2013 06 x,1760
Polymer/polymer,2013 07 x,1967
Polymer/polymer,2013 08 x,2198
Polymer/polymer,2013 09 x,2468
Polymer/polymer,2013 10 x,2722
Polymer/polymer,2013 11 x,2935
Polymer/polymer,2013 12 x,3106
Polymer/polymer,2014 01 x,3296
Polymer/polymer,2014 02 x,3563
Polymer/polymer,2014 03 x,3847
Polymer/polymer,2014 04 x,4084
Polymer/polymer,2014 05 x,4428
Polymer/polymer,2014 06 x,4993
Polymer/polymer,2014 07 x,5445
Polymer/polymer,2014 08 x,5791
Polymer/polymer,2014 09 x,6026
Polymer/polymer,2014 10 x,6183
angular/angular.js,2012 03 x,453
angular/angular.js,2012 04 x,842
angular/angular.js,2012 05 x,1296
angular/angular.js,2012 06 x,2386
angular/angular.js,2012 07 x,3086
angular/angular.js,2012 08 x,3774
angular/angular.js,2012 09 x,4163
angular/angular.js,2012 10 x,4597
angular/angular.js,2012 11 x,5041
angular/angular.js,2012 12 x,5565
angular/angular.js,2013 01 x,6355
angular/angular.js,2013 02 x,7245
angular/angular.js,2013 03 x,8140
angular/angular.js,2013 04 x,9207
angular/angular.js,2013 05 x,10254
angular/angular.js,2013 06 x,11225
angular/angular.js,2013 07 x,12301
angular/angular.js,2013 08 x,13641
angular/angular.js,2013 09 x,14875
angular/angular.js,2013 10 x,16074
angular/angular.js,2013 11 x,17386
angular/angular.js,2013 12 x,18518
angular/angular.js,2014 01 x,19703
angular/angular.js,2014 02 x,21011
angular/angular.js,2014 03 x,22247
angular/angular.js,2014 04 x,23279
angular/angular.js,2014 05 x,24489
angular/angular.js,2014 06 x,25572
angular/angular.js,2014 07 x,26713
angular/angular.js,2014 08 x,28010
angular/angular.js,2014 09 x,29316
angular/angular.js,2014 10 x,30219
bem/bem-core,2013 02 x,1
bem/bem-core,2013 03 x,4
bem/bem-core,2013 04 x,7
bem/bem-core,2013 05 x,8
bem/bem-core,2013 06 x,12
bem/bem-core,2013 07 x,14
bem/bem-core,2013 08 x,15
bem/bem-core,2013 09 x,18
bem/bem-core,2013 10 x,22
bem/bem-core,2013 11 x,25
bem/bem-core,2013 12 x,28
bem/bem-core,2014 01 x,29
bem/bem-core,2014 02 x,35
bem/bem-core,2014 03 x,41
bem/bem-core,2014 04 x,48
bem/bem-core,2014 05 x,50
bem/bem-core,2014 06 x,52
bem/bem-core,2014 07 x,63
bem/bem-core,2014 08 x,71
bem/bem-core,2014 09 x,73
bem/bem-core,2014 10 x,76
derbyjs/derby,2014 07 x,3329
derbyjs/derby,2014 08 x,3359
derbyjs/derby,2014 09 x,3400
derbyjs/derby,2014 10 x,3450
emberjs/ember.js,2012 03 x,2499
emberjs/ember.js,2012 04 x,2757
emberjs/ember.js,2012 05 x,3269
emberjs/ember.js,2012 06 x,3700
emberjs/ember.js,2012 07 x,4079
emberjs/ember.js,2012 08 x,4397
emberjs/ember.js,2012 09 x,4620
emberjs/ember.js,2012 10 x,4845
emberjs/ember.js,2012 11 x,5045
emberjs/ember.js,2012 12 x,5287
emberjs/ember.js,2013 01 x,5574
emberjs/ember.js,2013 02 x,6075
emberjs/ember.js,2013 03 x,6497
emberjs/ember.js,2013 04 x,6859
emberjs/ember.js,2013 05 x,7134
emberjs/ember.js,2013 06 x,7384
emberjs/ember.js,2013 07 x,7625
emberjs/ember.js,2013 08 x,7904
emberjs/ember.js,2013 09 x,8316
emberjs/ember.js,2013 10 x,8539
emberjs/ember.js,2013 11 x,8784
emberjs/ember.js,2013 12 x,9015
emberjs/ember.js,2014 01 x,9251
emberjs/ember.js,2014 02 x,9492
emberjs/ember.js,2014 03 x,9747
emberjs/ember.js,2014 04 x,10043
emberjs/ember.js,2014 05 x,10341
emberjs/ember.js,2014 06 x,10620
emberjs/ember.js,2014 07 x,10891
emberjs/ember.js,2014 08 x,11157
emberjs/ember.js,2014 09 x,11348
emberjs/ember.js,2014 10 x,11473
facebook/react,2013 05 x,1115
facebook/react,2013 06 x,1633
facebook/react,2013 07 x,1799
facebook/react,2013 08 x,1988
facebook/react,2013 09 x,2165
facebook/react,2013 10 x,2389
facebook/react,2013 11 x,2676
facebook/react,2013 12 x,3619
facebook/react,2014 01 x,4549
facebook/react,2014 02 x,5002
facebook/react,2014 03 x,5470
facebook/react,2014 04 x,5987
facebook/react,2014 05 x,6948
facebook/react,2014 06 x,7395
facebook/react,2014 07 x,8134
facebook/react,2014 08 x,8704
facebook/react,2014 09 x,9370
facebook/react,2014 10 x,9785
jashkenas/backbone,2013 07 x,15158
jashkenas/backbone,2013 08 x,15508
jashkenas/backbone,2013 09 x,15808
jashkenas/backbone,2013 10 x,16096
jashkenas/backbone,2013 11 x,16348
jashkenas/backbone,2013 12 x,16643
jashkenas/backbone,2014 01 x,16933
jashkenas/backbone,2014 02 x,17189
jashkenas/backbone,2014 03 x,17507
jashkenas/backbone,2014 04 x,17824
jashkenas/backbone,2014 05 x,18141
jashkenas/backbone,2014 06 x,18452
jashkenas/backbone,2014 07 x,18690
jashkenas/backbone,2014 08 x,18984
jashkenas/backbone,2014 09 x,19226
jashkenas/backbone,2014 10 x,19367
knockout/knockout,2013 05 x,3759
knockout/knockout,2013 06 x,3868
knockout/knockout,2013 07 x,4011
knockout/knockout,2013 08 x,4124
knockout/knockout,2013 09 x,4211
knockout/knockout,2013 10 x,4315
knockout/knockout,2013 11 x,4407
knockout/knockout,2013 12 x,4484
knockout/knockout,2014 01 x,4577
knockout/knockout,2014 02 x,4685
knockout/knockout,2014 03 x,4806
knockout/knockout,2014 04 x,4902
knockout/knockout,2014 05 x,5027
knockout/knockout,2014 06 x,5144
knockout/knockout,2014 07 x,5258
knockout/knockout,2014 08 x,5399
knockout/knockout,2014 09 x,5492
knockout/knockout,2014 10 x,5566
meteor/meteor,2012 03 x,13
meteor/meteor,2012 04 x,3016
meteor/meteor,2012 05 x,3615
meteor/meteor,2012 06 x,3990
meteor/meteor,2012 07 x,4807
meteor/meteor,2012 08 x,5308
meteor/meteor,2012 09 x,5538
meteor/meteor,2012 10 x,5921
meteor/meteor,2012 11 x,6225
meteor/meteor,2012 12 x,6763
meteor/meteor,2013 01 x,7188
meteor/meteor,2013 02 x,7536
meteor/meteor,2013 03 x,8017
meteor/meteor,2013 04 x,8339
meteor/meteor,2013 05 x,8650
meteor/meteor,2013 06 x,8989
