framework,date,questions
jquery,2009-09-01 - 2009-10-01,1625
jquery,2008-03-01 - 2008-04-01,0
jquery,2010-06-01 - 2010-07-01,3082
jquery,2010-09-01 - 2010-10-01,3691
jquery,2011-04-01 - 2011-05-01,6254
jquery,2012-07-01 - 2012-08-01,9874
jquery,2008-06-01 - 2008-07-01,0
jquery,2010-11-01 - 2010-12-01,4104
jquery,2012-01-01 - 2012-02-01,8050
jquery,2014-03-01 - 2014-04-01,14985
jquery,2009-02-01 - 2009-03-01,496
jquery,2014-01-01 - 2014-02-01,14101
jquery,2010-01-01 - 2010-02-01,2332
jquery,2011-10-01 - 2011-11-01,7039
jquery,2008-12-01 - 2009-01-01,256
jquery,2011-09-01 - 2011-10-01,7030
jquery,2010-03-01 - 2010-04-01,2880
jquery,2013-02-01 - 2013-03-01,10328
jquery,2010-02-01 - 2010-03-01,2322
jquery,2008-02-01 - 2008-03-01,0
jquery,2009-07-01 - 2009-08-01,1381
jquery,2014-02-01 - 2014-03-01,14021
jquery,2011-01-01 - 2011-02-01,4896
jquery,2012-03-01 - 2012-04-01,9067
jquery,2008-08-01 - 2008-09-01,27
jquery,2009-04-01 - 2009-05-01,701
jquery,2010-10-01 - 2010-11-01,3801
jquery,2013-01-01 - 2013-02-01,10517
jquery,2011-11-01 - 2011-12-01,7338
jquery,2009-01-01 - 2009-02-01,380
jquery,2009-11-01 - 2009-12-01,1806
jquery,2012-06-01 - 2012-07-01,9253
jquery,2008-10-01 - 2008-11-01,256
jquery,2011-03-01 - 2011-04-01,6288
jquery,2013-09-01 - 2013-10-01,12085
jquery,2011-07-01 - 2011-08-01,7163
jquery,2011-06-01 - 2011-07-01,6548
jquery,2008-07-01 - 2008-08-01,0
jquery,2011-05-01 - 2011-06-01,6613
jquery,2013-07-01 - 2013-08-01,11873
jquery,2010-08-01 - 2010-09-01,3803
jquery,2011-02-01 - 2011-03-01,5064
jquery,2008-01-01 - 2008-02-01,0
jquery,2012-11-01 - 2012-12-01,9788
jquery,2012-05-01 - 2012-06-01,9541
jquery,2014-09-01 - 2014-10-01,11132
jquery,2013-04-01 - 2013-05-01,11608
jquery,2009-05-01 - 2009-06-01,939
jquery,2014-06-01 - 2014-07-01,11256
jquery,2014-07-01 - 2014-08-01,12013
jquery,2010-05-01 - 2010-06-01,2793
jquery,2009-10-01 - 2009-11-01,1793
jquery,2012-12-01 - 2013-01-01,8987
jquery,2009-08-01 - 2009-09-01,1603
jquery,2013-06-01 - 2013-07-01,10875
jquery,2013-08-01 - 2013-09-01,11979
jquery,2012-09-01 - 2012-10-01,8956
jquery,2012-04-01 - 2012-05-01,8754
jquery,2009-06-01 - 2009-07-01,1160
jquery,2011-12-01 - 2012-01-01,7284
jquery,2010-12-01 - 2011-01-01,4277
jquery,2014-04-01 - 2014-05-01,14043
jquery,2008-11-01 - 2008-12-01,264
jquery,2008-05-01 - 2008-06-01,0
jquery,2010-04-01 - 2010-05-01,2752
jquery,2009-12-01 - 2010-01-01,1894
jquery,2013-10-01 - 2013-11-01,13566
jquery,2013-11-01 - 2013-12-01,12831
jquery,2011-08-01 - 2011-09-01,7652
jquery,2013-03-01 - 2013-04-01,11763
jquery,2013-12-01 - 2014-01-01,12167
jquery,2012-02-01 - 2012-03-01,8674
jquery,2008-04-01 - 2008-05-01,0
jquery,2012-08-01 - 2012-09-01,10065
jquery,2014-05-01 - 2014-06-01,12375
jquery,2014-08-01 - 2014-09-01,11495
jquery,2010-07-01 - 2010-08-01,3544
jquery,2013-05-01 - 2013-06-01,11130
jquery,2012-10-01 - 2012-11-01,9842
jquery,2008-09-01 - 2008-10-01,135
jquery,2009-03-01 - 2009-04-01,572
dojo,2009-09-01 - 2009-10-01,48
dojo,2008-03-01 - 2008-04-01,0
dojo,2010-06-01 - 2010-07-01,52
dojo,2010-09-01 - 2010-10-01,38
dojo,2011-04-01 - 2011-05-01,92
dojo,2012-07-01 - 2012-08-01,128
dojo,2008-06-01 - 2008-07-01,0
dojo,2010-11-01 - 2010-12-01,58
dojo,2012-01-01 - 2012-02-01,128
dojo,2014-03-01 - 2014-04-01,143
dojo,2009-02-01 - 2009-03-01,7
dojo,2014-01-01 - 2014-02-01,182
dojo,2010-01-01 - 2010-02-01,60
dojo,2011-10-01 - 2011-11-01,112
dojo,2008-12-01 - 2009-01-01,5
dojo,2011-09-01 - 2011-10-01,123
dojo,2010-03-01 - 2010-04-01,59
dojo,2013-02-01 - 2013-03-01,143
dojo,2010-02-01 - 2010-03-01,47
dojo,2008-02-01 - 2008-03-01,0
dojo,2009-07-01 - 2009-08-01,38
dojo,2014-02-01 - 2014-03-01,147
dojo,2011-01-01 - 2011-02-01,55
dojo,2012-03-01 - 2012-04-01,151
dojo,2008-08-01 - 2008-09-01,2
dojo,2009-04-01 - 2009-05-01,9
dojo,2010-10-01 - 2010-11-01,51
dojo,2013-01-01 - 2013-02-01,144
dojo,2011-11-01 - 2011-12-01,111
dojo,2009-01-01 - 2009-02-01,20
dojo,2009-11-01 - 2009-12-01,43
dojo,2012-06-01 - 2012-07-01,154
dojo,2008-10-01 - 2008-11-01,6
dojo,2011-03-01 - 2011-04-01,91
dojo,2013-09-01 - 2013-10-01,174
dojo,2011-07-01 - 2011-08-01,125
dojo,2011-06-01 - 2011-07-01,113
dojo,2008-07-01 - 2008-08-01,0
dojo,2011-05-01 - 2011-06-01,100
dojo,2013-07-01 - 2013-08-01,222
dojo,2010-08-01 - 2010-09-01,31
dojo,2011-02-01 - 2011-03-01,56
dojo,2008-01-01 - 2008-02-01,0
dojo,2012-11-01 - 2012-12-01,130
dojo,2012-05-01 - 2012-06-01,165
dojo,2014-09-01 - 2014-10-01,120
dojo,2013-04-01 - 2013-05-01,170
dojo,2009-05-01 - 2009-06-01,17
dojo,2014-06-01 - 2014-07-01,118
dojo,2014-07-01 - 2014-08-01,143
dojo,2010-05-01 - 2010-06-01,49
dojo,2009-10-01 - 2009-11-01,46
dojo,2012-12-01 - 2013-01-01,108
dojo,2009-08-01 - 2009-09-01,45
dojo,2013-06-01 - 2013-07-01,150
dojo,2013-08-01 - 2013-09-01,169
dojo,2012-09-01 - 2012-10-01,111
dojo,2012-04-01 - 2012-05-01,142
dojo,2009-06-01 - 2009-07-01,16
dojo,2011-12-01 - 2012-01-01,99
dojo,2010-12-01 - 2011-01-01,73
dojo,2014-04-01 - 2014-05-01,137
dojo,2008-11-01 - 2008-12-01,15
dojo,2008-05-01 - 2008-06-01,0
dojo,2010-04-01 - 2010-05-01,36
dojo,2009-12-01 - 2010-01-01,52
dojo,2013-10-01 - 2013-11-01,195
dojo,2013-11-01 - 2013-12-01,161
dojo,2011-08-01 - 2011-09-01,129
dojo,2013-03-01 - 2013-04-01,159
dojo,2013-12-01 - 2014-01-01,132
dojo,2012-02-01 - 2012-03-01,135
dojo,2008-04-01 - 2008-05-01,0
dojo,2012-08-01 - 2012-09-01,158
dojo,2014-05-01 - 2014-06-01,154
dojo,2014-08-01 - 2014-09-01,125
dojo,2010-07-01 - 2010-08-01,45
dojo,2013-05-01 - 2013-06-01,108
dojo,2012-10-01 - 2012-11-01,171
dojo,2008-09-01 - 2008-10-01,7
dojo,2009-03-01 - 2009-04-01,15
extjs,2009-09-01 - 2009-10-01,32
extjs,2008-03-01 - 2008-04-01,0
extjs,2010-06-01 - 2010-07-01,71
extjs,2010-09-01 - 2010-10-01,89
extjs,2011-04-01 - 2011-05-01,267
extjs,2012-07-01 - 2012-08-01,370
extjs,2008-06-01 - 2008-07-01,0
extjs,2010-11-01 - 2010-12-01,119
extjs,2012-01-01 - 2012-02-01,232
extjs,2014-03-01 - 2014-04-01,445
extjs,2009-02-01 - 2009-03-01,13
extjs,2014-01-01 - 2014-02-01,454
extjs,2010-01-01 - 2010-02-01,57
extjs,2011-10-01 - 2011-11-01,220
extjs,2008-12-01 - 2009-01-01,4
extjs,2011-09-01 - 2011-10-01,291
extjs,2010-03-01 - 2010-04-01,73
extjs,2013-02-01 - 2013-03-01,383
extjs,2010-02-01 - 2010-03-01,50
extjs,2008-02-01 - 2008-03-01,0
extjs,2009-07-01 - 2009-08-01,23
extjs,2014-02-01 - 2014-03-01,423
extjs,2011-01-01 - 2011-02-01,133
extjs,2012-03-01 - 2012-04-01,309
extjs,2008-08-01 - 2008-09-01,0
extjs,2009-04-01 - 2009-05-01,13
extjs,2010-10-01 - 2010-11-01,129
extjs,2013-01-01 - 2013-02-01,331
extjs,2011-11-01 - 2011-12-01,266
extjs,2009-01-01 - 2009-02-01,10
extjs,2009-11-01 - 2009-12-01,41
extjs,2012-06-01 - 2012-07-01,371
extjs,2008-10-01 - 2008-11-01,9
extjs,2011-03-01 - 2011-04-01,264
extjs,2013-09-01 - 2013-10-01,364
extjs,2011-07-01 - 2011-08-01,229
extjs,2011-06-01 - 2011-07-01,239
extjs,2008-07-01 - 2008-08-01,0
extjs,2011-05-01 - 2011-06-01,290
extjs,2013-07-01 - 2013-08-01,462
extjs,2010-08-01 - 2010-09-01,98
extjs,2011-02-01 - 2011-03-01,207
extjs,2008-01-01 - 2008-02-01,0
extjs,2012-11-01 - 2012-12-01,317
extjs,2012-05-01 - 2012-06-01,404
extjs,2014-09-01 - 2014-10-01,362
extjs,2013-04-01 - 2013-05-01,322
extjs,2009-05-01 - 2009-06-01,14
extjs,2014-06-01 - 2014-07-01,363
extjs,2014-07-01 - 2014-08-01,365
extjs,2010-05-01 - 2010-06-01,49
extjs,2009-10-01 - 2009-11-01,33
extjs,2012-12-01 - 2013-01-01,302
extjs,2009-08-01 - 2009-09-01,24
extjs,2013-06-01 - 2013-07-01,448
extjs,2013-08-01 - 2013-09-01,448
extjs,2012-09-01 - 2012-10-01,336
extjs,2012-04-01 - 2012-05-01,334
extjs,2009-06-01 - 2009-07-01,19
extjs,2011-12-01 - 2012-01-01,199
extjs,2010-12-01 - 2011-01-01,150
extjs,2014-04-01 - 2014-05-01,382
extjs,2008-11-01 - 2008-12-01,5
extjs,2008-05-01 - 2008-06-01,0
extjs,2010-04-01 - 2010-05-01,52
extjs,2009-12-01 - 2010-01-01,32
extjs,2013-10-01 - 2013-11-01,414
extjs,2013-11-01 - 2013-12-01,404
extjs,2011-08-01 - 2011-09-01,239
extjs,2013-03-01 - 2013-04-01,350
extjs,2013-12-01 - 2014-01-01,376
extjs,2012-02-01 - 2012-03-01,266
extjs,2008-04-01 - 2008-05-01,0
extjs,2012-08-01 - 2012-09-01,385
extjs,2014-05-01 - 2014-06-01,387
extjs,2014-08-01 - 2014-09-01,328
extjs,2010-07-01 - 2010-08-01,85
extjs,2013-05-01 - 2013-06-01,338
extjs,2012-10-01 - 2012-11-01,333
extjs,2008-09-01 - 2008-10-01,8
extjs,2009-03-01 - 2009-04-01,15
