framework,date,questions
polymer,2011-08-01 - 2011-09-01,0
polymer,2012-01-01 - 2012-02-01,0
polymer,2010-09-01 - 2010-10-01,0
polymer,2011-03-01 - 2011-04-01,0
polymer,2010-11-01 - 2010-12-01,0
polymer,2014-01-01 - 2014-02-01,20
polymer,2014-03-01 - 2014-04-01,58
polymer,2012-07-01 - 2012-08-01,0
polymer,2010-01-01 - 2010-02-01,0
polymer,2011-02-01 - 2011-03-01,0
polymer,2011-09-01 - 2011-10-01,0
polymer,2010-03-01 - 2010-04-01,0
polymer,2013-02-01 - 2013-03-01,0
polymer,2010-02-01 - 2010-03-01,0
polymer,2011-06-01 - 2011-07-01,0
polymer,2010-04-01 - 2010-05-01,0
polymer,2014-02-01 - 2014-03-01,23
polymer,2013-07-01 - 2013-08-01,3
polymer,2012-03-01 - 2012-04-01,0
polymer,2010-10-01 - 2010-11-01,0
polymer,2011-11-01 - 2011-12-01,0
polymer,2011-01-01 - 2011-02-01,0
polymer,2012-06-01 - 2012-07-01,0
polymer,2012-09-01 - 2012-10-01,0
polymer,2012-12-01 - 2013-01-01,0
polymer,2011-04-01 - 2011-05-01,0
polymer,2010-08-01 - 2010-09-01,0
polymer,2011-05-01 - 2011-06-01,0
polymer,2013-09-01 - 2013-10-01,29
polymer,2012-05-01 - 2012-06-01,0
polymer,2014-09-01 - 2014-10-01,157
polymer,2013-04-01 - 2013-05-01,0
polymer,2012-04-01 - 2012-05-01,0
polymer,2014-06-01 - 2014-07-01,81
polymer,2014-07-01 - 2014-08-01,264
polymer,2010-05-01 - 2010-06-01,0
polymer,2013-01-01 - 2013-02-01,0
polymer,2013-12-01 - 2014-01-01,12
polymer,2013-06-01 - 2013-07-01,1
polymer,2013-08-01 - 2013-09-01,24
polymer,2013-10-01 - 2013-11-01,11
polymer,2013-05-01 - 2013-06-01,1
polymer,2011-12-01 - 2012-01-01,0
polymer,2012-11-01 - 2012-12-01,0
polymer,2014-04-01 - 2014-05-01,66
polymer,2011-10-01 - 2011-11-01,0
polymer,2010-06-01 - 2010-07-01,0
polymer,2013-11-01 - 2013-12-01,14
polymer,2013-03-01 - 2013-04-01,0
polymer,2012-02-01 - 2012-03-01,0
polymer,2011-07-01 - 2011-08-01,0
polymer,2012-08-01 - 2012-09-01,0
polymer,2014-05-01 - 2014-06-01,70
polymer,2014-08-01 - 2014-09-01,195
polymer,2010-07-01 - 2010-08-01,0
polymer,2012-10-01 - 2012-11-01,0
polymer,2010-12-01 - 2011-01-01,0
ember.js,2011-08-01 - 2011-09-01,0
ember.js,2012-01-01 - 2012-02-01,54
ember.js,2010-09-01 - 2010-10-01,0
ember.js,2011-03-01 - 2011-04-01,0
ember.js,2010-11-01 - 2010-12-01,0
ember.js,2014-01-01 - 2014-02-01,435
ember.js,2014-03-01 - 2014-04-01,543
ember.js,2012-07-01 - 2012-08-01,175
ember.js,2010-01-01 - 2010-02-01,0
ember.js,2011-02-01 - 2011-03-01,0
ember.js,2011-09-01 - 2011-10-01,0
ember.js,2010-03-01 - 2010-04-01,0
ember.js,2013-02-01 - 2013-03-01,401
ember.js,2010-02-01 - 2010-03-01,0
ember.js,2011-06-01 - 2011-07-01,0
ember.js,2010-04-01 - 2010-05-01,0
ember.js,2014-02-01 - 2014-03-01,501
ember.js,2013-07-01 - 2013-08-01,495
ember.js,2012-03-01 - 2012-04-01,126
ember.js,2010-10-01 - 2010-11-01,0
ember.js,2011-11-01 - 2011-12-01,3
ember.js,2011-01-01 - 2011-02-01,0
ember.js,2012-06-01 - 2012-07-01,136
ember.js,2012-09-01 - 2012-10-01,207
ember.js,2012-12-01 - 2013-01-01,200
ember.js,2011-04-01 - 2011-05-01,0
ember.js,2010-08-01 - 2010-09-01,0
ember.js,2011-05-01 - 2011-06-01,0
ember.js,2013-09-01 - 2013-10-01,538
ember.js,2012-05-01 - 2012-06-01,124
ember.js,2014-09-01 - 2014-10-01,504
ember.js,2013-04-01 - 2013-05-01,425
ember.js,2012-04-01 - 2012-05-01,118
ember.js,2014-06-01 - 2014-07-01,565
ember.js,2014-07-01 - 2014-08-01,531
ember.js,2010-05-01 - 2010-06-01,0
ember.js,2013-01-01 - 2013-02-01,344
ember.js,2013-12-01 - 2014-01-01,470
ember.js,2013-06-01 - 2013-07-01,299
ember.js,2013-08-01 - 2013-09-01,529
ember.js,2013-10-01 - 2013-11-01,480
ember.js,2013-05-01 - 2013-06-01,365
ember.js,2011-12-01 - 2012-01-01,31
ember.js,2012-11-01 - 2012-12-01,169
ember.js,2014-04-01 - 2014-05-01,574
ember.js,2011-10-01 - 2011-11-01,1
ember.js,2010-06-01 - 2010-07-01,0
ember.js,2013-11-01 - 2013-12-01,462
ember.js,2013-03-01 - 2013-04-01,458
ember.js,2012-02-01 - 2012-03-01,89
ember.js,2011-07-01 - 2011-08-01,0
ember.js,2012-08-01 - 2012-09-01,190
ember.js,2014-05-01 - 2014-06-01,536
ember.js,2014-08-01 - 2014-09-01,570
ember.js,2010-07-01 - 2010-08-01,0
ember.js,2012-10-01 - 2012-11-01,166
ember.js,2010-12-01 - 2011-01-01,0
backbone.js,2011-08-01 - 2011-09-01,142
backbone.js,2012-01-01 - 2012-02-01,260
backbone.js,2010-09-01 - 2010-10-01,0
backbone.js,2011-03-01 - 2011-04-01,36
backbone.js,2010-11-01 - 2010-12-01,5
backbone.js,2014-01-01 - 2014-02-01,509
backbone.js,2014-03-01 - 2014-04-01,519
backbone.js,2012-07-01 - 2012-08-01,474
backbone.js,2010-01-01 - 2010-02-01,0
backbone.js,2011-02-01 - 2011-03-01,26
backbone.js,2011-09-01 - 2011-10-01,163
backbone.js,2010-03-01 - 2010-04-01,0
backbone.js,2013-02-01 - 2013-03-01,553
backbone.js,2010-02-01 - 2010-03-01,0
backbone.js,2011-06-01 - 2011-07-01,80
backbone.js,2010-04-01 - 2010-05-01,0
backbone.js,2014-02-01 - 2014-03-01,532
backbone.js,2013-07-01 - 2013-08-01,516
backbone.js,2012-03-01 - 2012-04-01,317
backbone.js,2010-10-01 - 2010-11-01,0
backbone.js,2011-11-01 - 2011-12-01,192
backbone.js,2011-01-01 - 2011-02-01,7
backbone.js,2012-06-01 - 2012-07-01,472
backbone.js,2012-09-01 - 2012-10-01,366
backbone.js,2012-12-01 - 2013-01-01,438
backbone.js,2011-04-01 - 2011-05-01,53
backbone.js,2010-08-01 - 2010-09-01,0
backbone.js,2011-05-01 - 2011-06-01,84
backbone.js,2013-09-01 - 2013-10-01,468
backbone.js,2012-05-01 - 2012-06-01,412
backbone.js,2014-09-01 - 2014-10-01,306
backbone.js,2013-04-01 - 2013-05-01,485
backbone.js,2012-04-01 - 2012-05-01,346
backbone.js,2014-06-01 - 2014-07-01,365
backbone.js,2014-07-01 - 2014-08-01,404
backbone.js,2010-05-01 - 2010-06-01,0
backbone.js,2013-01-01 - 2013-02-01,553
backbone.js,2013-12-01 - 2014-01-01,425
backbone.js,2013-06-01 - 2013-07-01,457
backbone.js,2013-08-01 - 2013-09-01,544
backbone.js,2013-10-01 - 2013-11-01,491
backbone.js,2013-05-01 - 2013-06-01,525
backbone.js,2011-12-01 - 2012-01-01,256
backbone.js,2012-11-01 - 2012-12-01,363
backbone.js,2014-04-01 - 2014-05-01,489
backbone.js,2011-10-01 - 2011-11-01,197
backbone.js,2010-06-01 - 2010-07-01,0
backbone.js,2013-11-01 - 2013-12-01,506
backbone.js,2013-03-01 - 2013-04-01,526
backbone.js,2012-02-01 - 2012-03-01,337
backbone.js,2011-07-01 - 2011-08-01,104
backbone.js,2012-08-01 - 2012-09-01,470
backbone.js,2014-05-01 - 2014-06-01,401
backbone.js,2014-08-01 - 2014-09-01,333
backbone.js,2010-07-01 - 2010-08-01,0
backbone.js,2012-10-01 - 2012-11-01,431
backbone.js,2010-12-01 - 2011-01-01,11
bem,2011-08-01 - 2011-09-01,0
bem,2012-01-01 - 2012-02-01,0
bem,2010-09-01 - 2010-10-01,0
bem,2011-03-01 - 2011-04-01,0
bem,2010-11-01 - 2010-12-01,0
bem,2014-01-01 - 2014-02-01,0
bem,2014-03-01 - 2014-04-01,5
bem,2012-07-01 - 2012-08-01,0
bem,2010-01-01 - 2010-02-01,0
bem,2011-02-01 - 2011-03-01,0
bem,2011-09-01 - 2011-10-01,0
bem,2010-03-01 - 2010-04-01,0
bem,2013-02-01 - 2013-03-01,0
bem,2010-02-01 - 2010-03-01,0
bem,2011-06-01 - 2011-07-01,0
bem,2010-04-01 - 2010-05-01,0
bem,2014-02-01 - 2014-03-01,0
bem,2013-07-01 - 2013-08-01,1
bem,2012-03-01 - 2012-04-01,0
bem,2010-10-01 - 2010-11-01,0
bem,2011-11-01 - 2011-12-01,0
bem,2011-01-01 - 2011-02-01,0
bem,2012-06-01 - 2012-07-01,0
bem,2012-09-01 - 2012-10-01,0
bem,2012-12-01 - 2013-01-01,1
bem,2011-04-01 - 2011-05-01,0
bem,2010-08-01 - 2010-09-01,0
bem,2011-05-01 - 2011-06-01,0
bem,2013-09-01 - 2013-10-01,0
bem,2012-05-01 - 2012-06-01,0
bem,2014-09-01 - 2014-10-01,4
bem,2013-04-01 - 2013-05-01,2
bem,2012-04-01 - 2012-05-01,0
bem,2014-06-01 - 2014-07-01,1
bem,2014-07-01 - 2014-08-01,3
bem,2010-05-01 - 2010-06-01,0
bem,2013-01-01 - 2013-02-01,0
bem,2013-12-01 - 2014-01-01,1
bem,2013-06-01 - 2013-07-01,0
bem,2013-08-01 - 2013-09-01,1
bem,2013-10-01 - 2013-11-01,3
bem,2013-05-01 - 2013-06-01,0
bem,2011-12-01 - 2012-01-01,0
bem,2012-11-01 - 2012-12-01,0
bem,2014-04-01 - 2014-05-01,1
bem,2011-10-01 - 2011-11-01,0
bem,2010-06-01 - 2010-07-01,0
bem,2013-11-01 - 2013-12-01,3
bem,2013-03-01 - 2013-04-01,1
bem,2012-02-01 - 2012-03-01,0
bem,2011-07-01 - 2011-08-01,0
bem,2012-08-01 - 2012-09-01,0
bem,2014-05-01 - 2014-06-01,2
bem,2014-08-01 - 2014-09-01,1
bem,2010-07-01 - 2010-08-01,0
bem,2012-10-01 - 2012-11-01,0
bem,2010-12-01 - 2011-01-01,0
reactjs,2011-08-01 - 2011-09-01,0
reactjs,2012-01-01 - 2012-02-01,0
reactjs,2010-09-01 - 2010-10-01,0
reactjs,2011-03-01 - 2011-04-01,0
reactjs,2010-11-01 - 2010-12-01,0
reactjs,2014-01-01 - 2014-02-01,45
reactjs,2014-03-01 - 2014-04-01,45
reactjs,2012-07-01 - 2012-08-01,0
reactjs,2010-01-01 - 2010-02-01,0
reactjs,2011-02-01 - 2011-03-01,0
reactjs,2011-09-01 - 2011-10-01,0
reactjs,2010-03-01 - 2010-04-01,0
reactjs,2013-02-01 - 2013-03-01,0
reactjs,2010-02-01 - 2010-03-01,0
reactjs,2011-06-01 - 2011-07-01,0
reactjs,2010-04-01 - 2010-05-01,0
reactjs,2014-02-01 - 2014-03-01,46
reactjs,2013-07-01 - 2013-08-01,1
reactjs,2012-03-01 - 2012-04-01,0
reactjs,2010-10-01 - 2010-11-01,0
reactjs,2011-11-01 - 2011-12-01,0
reactjs,2011-01-01 - 2011-02-01,0
reactjs,2012-06-01 - 2012-07-01,0
reactjs,2012-09-01 - 2012-10-01,0
reactjs,2012-12-01 - 2013-01-01,0
reactjs,2011-04-01 - 2011-05-01,0
reactjs,2010-08-01 - 2010-09-01,0
reactjs,2011-05-01 - 2011-06-01,0
reactjs,2013-09-01 - 2013-10-01,9
reactjs,2012-05-01 - 2012-06-01,0
reactjs,2014-09-01 - 2014-10-01,96
reactjs,2013-04-01 - 2013-05-01,0
reactjs,2012-04-01 - 2012-05-01,0
reactjs,2014-06-01 - 2014-07-01,63
reactjs,2014-07-01 - 2014-08-01,77
